,시가,고가,저가,현재가,거래량
0,73500,73800,73100,73400,18486672
1,72700,73800,72500,72900,39882928
2,72100,73900,72000,73900,24077996
3,72200,72900,71600,71700,25000338
4,72400,73500,71900,72900,28490496
5,70400,72100,70100,71500,28130533
6,70100,70500,69300,69700,23677989
7,68400,69900,68300,69500,29703942
8,67100,68300,67100,67800,22327173
9,68400,68600,66700,66700,43811016
10,68000,68400,67600,68200,14063434
11,66100,68000,66000,68000,19023323
12,67900,68300,66500,66600,32447065
13,67900,69500,67000,67700,32158235
14,64800,67800,64700,67500,27134398
15,63900,65200,63900,64700,15068682
16,64100,64800,63900,64600,16590290
17,65700,66200,64700,64800,22963790
18,67000,67000,65600,65700,30204089
19,64000,66700,63900,66300,36354334
20,61300,63200,61000,63200,31508829
21,61000,61400,60700,61000,19800573
22,60700,61400,60400,61300,25628510
23,60500,60500,59500,60200,19073552
24,60700,60900,60100,60200,15892961
25,60700,60800,59600,60100,16910230
26,59000,60300,58800,60300,20639475
27,58900,59000,57800,58500,21718561
28,57900,58900,57600,58800,14950919
29,56400,57500,56000,57400,20489076
30,58000,58000,56600,56600,26907844
31,58200,58500,57500,58100,22636966
32,59400,59400,58800,59000,14428882
33,60300,60300,59500,59800,17260416
34,60400,61100,60100,60400,13268226
35,60400,60400,59800,60200,9322232
36,60300,60500,59800,60100,14294095
37,61200,61500,60600,60900,15703443
38,60300,60900,60100,60900,19326115
39,59600,60200,59500,60000,14474985
40,60000,60400,59000,59500,16554190
41,60700,60800,59700,60000,17756232
42,61000,61100,60500,60900,16086716
43,61000,61400,60400,60900,19247631
44,60000,60400,59900,60400,16145837
45,60500,60700,59500,59700,24589924
46,58700,59900,58500,59900,14861838
47,59400,59900,58700,59000,14463826
48,57500,59200,57500,58700,20228289
49,58300,59000,58200,58200,15503563
50,58300,58800,57900,58200,12614080
51,57700,58200,57700,57900,11444683
52,57700,58600,57600,57800,17564020
53,58400,58800,57400,58600,20111398
54,59100,59700,57800,58200,20830381
55,59100,60000,59000,59200,15140387
56,59800,59900,59100,59300,18884571
57,60700,60800,59300,59500,25108356
58,61100,61300,60600,61000,17041444
59,60900,61000,60500,61000,17877075
60,60200,60800,59900,60400,20648281
61,59300,59400,58200,59000,16017098
62,59900,60000,59100,59200,29923293
63,58200,59300,57800,58400,30597399
64,57400,58700,57200,58700,31517520
65,56100,57300,55800,56500,18685880
66,55200,55800,55100,55600,22139109
67,55600,56700,55500,56400,28384920
68,54600,55100,54100,54400,16905723
69,54100,54800,54100,54200,19363117
70,56000,56100,54000,54000,32671367
71,56100,56300,55400,55400,14619888
72,56300,56300,55600,55600,16196568
73,56400,56500,55700,56400,17651593
74,56400,56800,56100,56400,14021705
75,55800,56600,55400,56100,15055896
76,56200,56900,55800,55900,21142288
77,57600,57600,55300,55400,30386029
78,59000,59200,57800,57800,16930719
79,58900,59900,58000,58400,25307825
80,58000,58400,57700,58000,15672548
81,59400,59600,58000,58700,22089460
82,58200,59000,57700,59000,18573934
83,58000,59500,57800,58200,24907912
84,57600,58300,57500,57800,17774291
85,57900,58400,57100,57500,18751717
86,57100,58400,57100,58000,21625874
87,57300,57500,56300,56900,17739706
88,57200,58100,57000,57300,19419694
89,57800,57900,56700,56800,21158940
90,59500,59600,57700,57900,21943345
91,59700,60100,59000,59000,19285354
92,60300,60400,58600,59000,36476611
93,57000,58800,56400,58600,48431566
94,54300,55700,54300,55600,21054421
95,54000,54400,53700,54200,10994535
96,54700,54700,53800,54100,16214932
97,55300,55500,54700,54700,12885057
98,55200,55400,54800,55300,18297260
99,54800,54800,54000,54200,10507530
100,54200,54700,54100,54400,10096174
101,54800,54800,53800,53800,16779127
102,54400,55000,54300,54700,24051450
103,53700,53800,53200,53800,14269484
104,53300,53800,53100,53400,12240188
105,53100,53200,52300,52700,13714746
106,53200,53600,52800,52800,17054850
107,53600,53900,52900,53000,19664652
108,55800,55900,53400,53400,30760032
109,54000,55000,53800,55000,19856623
110,53000,53600,52700,53600,11887868
111,52100,52900,52100,52900,14142583
112,53400,53600,52400,52600,16706143
113,53900,53900,52800,52800,21157172
114,52500,53200,52000,52400,17776925
115,52800,53900,52200,53300,21575360
116,52100,53000,51900,51900,18541624
117,51900,53900,51600,52900,24519552
118,52500,52800,51100,51400,18086152
119,52000,52600,51800,52000,13801350
120,52600,52900,51600,52900,18157985
121,52200,52300,51600,52300,15982926
122,52100,52900,51300,52200,26672595
123,51200,52100,50600,52100,21808375
124,51400,52000,49900,49900,28772921
125,52100,52800,51500,52300,26976019
126,54500,55100,53200,54300,33815123
127,55100,55900,54900,55400,16742493
128,55800,56500,54400,55500,23998831
129,56400,56500,54700,54900,25634965
130,54400,55900,54000,55500,22743629
131,55800,57000,54600,54600,40220334
132,51800,55000,51700,54500,49257814
133,51000,51500,50800,51400,14247933
134,50800,51200,50600,51200,16949183
135,50000,50700,49700,50700,27596961
136,51100,51200,49900,50400,31309318
137,48950,50000,48800,49900,19548479
138,48700,49450,48600,49250,15127490
139,48750,48900,48450,48850,14337913
140,49600,49800,48600,48750,19706284
141,50300,50400,49850,49950,14949266
142,50000,50200,49800,50000,14896899
143,50100,50500,49700,50300,25168295
144,47950,49100,47600,48800,20481981
145,48400,48450,47700,47850,18463118
146,47750,48100,47650,48000,19305974
147,47250,48550,47200,48550,20223277
148,48400,48500,47550,47900,23433590
149,48900,49250,48300,48400,16357743
150,49100,49350,48800,48800,15319700
151,49200,49300,48700,48800,13884411
152,49000,49200,48500,49200,18070225
153,48900,49100,48500,48500,26083749
154,49900,50500,49600,50000,15604533
155,49850,50100,49300,50100,16095399
156,49350,50000,49100,49850,14049471
157,49650,49750,49000,49350,15618347
158,50200,50300,49500,49850,18754442
