,시가,고가,저가,현재가,거래량
0,358000,358500,350000,353500,270535
1,360000,361500,356500,361000,343123
2,346500,357000,345500,355000,362008
3,348000,359500,343500,354000,710608
4,362500,369500,351000,351500,504864
5,352500,376000,352000,362500,753764
6,327500,345000,327000,343000,621763
7,327500,329000,321000,326500,436161
8,325500,325500,314000,315000,298575
9,324500,326000,318500,324000,313697
10,319000,324500,317000,324500,470177
11,308500,319500,306500,313000,616801
12,307000,309500,301000,309000,717617
13,295000,297000,290500,296500,494846
14,300000,304500,285500,290500,540101
15,292000,294500,280000,291000,688886
16,305000,307000,292000,292000,599459
17,306500,309500,298500,305000,492967
18,291000,307000,289500,303000,473701
19,313000,314500,292500,303500,648602
20,309500,314000,297500,299500,720792
21,310000,316500,296500,307500,803831
22,283500,297500,274000,288000,966345
23,249500,286500,248500,268000,947838
24,246000,273000,242000,272500,1306067
25,284500,285500,230000,230000,1394682
26,307500,312000,280000,280000,946373
27,295000,315500,294500,306500,819960
28,343000,348000,312500,312500,747892
29,315000,343500,313000,340500,899561
30,359000,367000,334500,341500,1041370
31,374000,377500,362000,365000,447847
32,371000,380000,368000,373500,660399
33,383000,385500,373500,374000,611394
34,401000,404000,395500,400000,357631
35,407500,412000,402000,406000,645954
36,383500,398500,382000,392000,478790
37,393000,398500,384500,386500,547921
38,368500,385000,362500,377000,514325
39,376500,380000,366500,368000,643995
40,394000,398000,384000,388000,345104
41,394000,398000,387000,395000,334971
42,395500,400500,391500,399500,478820
43,392000,400000,391500,395000,463848
44,407000,416500,406500,407000,400924
45,408500,422000,406000,419000,482732
46,420500,421500,403500,404000,766920
47,418000,422000,415000,418000,366288
48,420500,422500,409000,419500,514355
49,416500,420000,412000,413500,301730
50,408500,418000,408000,411500,448366
51,408500,412000,403500,408000,463511
52,394500,420000,393500,413500,983089
53,382500,390000,381000,387000,291904
54,377000,391500,377000,386500,392312
55,374500,385000,372500,382000,551088
56,391000,391500,377000,382000,731711
57,364500,385000,361500,379500,995237
58,328500,351500,325500,350000,594448
59,349000,354000,335000,337500,391298
60,338500,347500,338500,343500,642288
61,338000,339000,332500,335000,272147
62,338000,339500,335000,336500,348298
63,347500,354000,347000,348500,260932
64,347500,353000,344500,351500,311524
65,358000,359000,344500,344500,364883
66,340500,355000,340000,354000,556519
67,330500,333000,330000,333000,221203
68,328500,330000,324000,329000,194414
69,330500,333000,327000,328500,231766
70,335000,343000,331000,333500,425340
